transaction_id,user_id,cohort_group,transaction_date,mrr_amount,event_type
TXN-1000-06,USER-1000,2025-06,2025-06-30,299.0,Standard Renewal
TXN-1000-07,USER-1000,2025-06,2025-07-30,299.0,Standard Renewal
TXN-1000-08,USER-1000,2025-06,2025-08-29,299.0,Standard Renewal
TXN-1000-09,USER-1000,2025-06,2025-09-28,299.0,Standard Renewal
TXN-1001-07,USER-1001,2025-07,2025-07-30,599.0,Standard Renewal
TXN-1001-08,USER-1001,2025-07,2025-08-29,599.0,Standard Renewal
TXN-1001-09,USER-1001,2025-07,2025-09-28,599.0,Standard Renewal
TXN-1001-10,USER-1001,2025-07,2025-10-28,599.0,Standard Renewal
TXN-1001-11,USER-1001,2025-07,2025-11-27,599.0,Standard Renewal
TXN-1002-02,USER-1002,2025-03,2025-03-02,999.0,Standard Renewal
TXN-1002-03,USER-1002,2025-03,2025-04-01,999.0,Standard Renewal
TXN-1003-08,USER-1003,2025-08,2025-08-29,599.0,Standard Renewal
TXN-1003-09,USER-1003,2025-08,2025-09-28,599.0,Standard Renewal
TXN-1003-10,USER-1003,2025-08,2025-10-28,599.0,Standard Renewal
TXN-1004-00,USER-1004,2025-01,2025-01-01,599.0,Standard Renewal
TXN-1004-01,USER-1004,2025-01,2025-01-31,599.0,Standard Renewal
TXN-1004-02,USER-1004,2025-01,2025-03-02,599.0,Standard Renewal
TXN-1004-03,USER-1004,2025-01,2025-04-01,599.0,Standard Renewal
TXN-1004-04,USER-1004,2025-01,2025-05-01,778.7,Tier Upgrade
TXN-1005-06,USER-1005,2025-06,2025-06-30,299.0,Standard Renewal
TXN-1005-07,USER-1005,2025-06,2025-07-30,299.0,Standard Renewal
TXN-1005-08,USER-1005,2025-06,2025-08-29,299.0,Standard Renewal
TXN-1005-09,USER-1005,2025-06,2025-09-28,299.0,Standard Renewal
TXN-1006-08,USER-1006,2025-08,2025-08-29,999.0,Standard Renewal
TXN-1007-02,USER-1007,2025-03,2025-03-02,299.0,Standard Renewal
TXN-1007-03,USER-1007,2025-03,2025-04-01,299.0,Standard Renewal
TXN-1007-04,USER-1007,2025-03,2025-05-01,299.0,Standard Renewal
TXN-1007-05,USER-1007,2025-03,2025-05-31,299.0,Standard Renewal
TXN-1007-06,USER-1007,2025-03,2025-06-30,299.0,Standard Renewal
TXN-1007-07,USER-1007,2025-03,2025-07-30,299.0,Standard Renewal
TXN-1007-08,USER-1007,2025-03,2025-08-29,299.0,Standard Renewal
TXN-1007-09,USER-1007,2025-03,2025-09-28,388.7,Tier Upgrade
TXN-1007-10,USER-1007,2025-03,2025-10-28,299.0,Standard Renewal
TXN-1008-06,USER-1008,2025-06,2025-06-30,699.3,Contraction
TXN-1008-07,USER-1008,2025-06,2025-07-30,699.3,Contraction
TXN-1008-08,USER-1008,2025-06,2025-08-29,999.0,Standard Renewal
TXN-1008-09,USER-1008,2025-06,2025-09-28,999.0,Standard Renewal
TXN-1008-10,USER-1008,2025-06,2025-10-28,999.0,Standard Renewal
TXN-1008-11,USER-1008,2025-06,2025-11-27,999.0,Standard Renewal
TXN-1009-06,USER-1009,2025-06,2025-06-30,999.0,Standard Renewal
TXN-1009-07,USER-1009,2025-06,2025-07-30,999.0,Standard Renewal
TXN-1009-08,USER-1009,2025-06,2025-08-29,999.0,Standard Renewal
TXN-1009-09,USER-1009,2025-06,2025-09-28,999.0,Standard Renewal
TXN-1009-10,USER-1009,2025-06,2025-10-28,999.0,Standard Renewal
TXN-1009-11,USER-1009,2025-06,2025-11-27,999.0,Standard Renewal
TXN-1011-08,USER-1011,2025-08,2025-08-29,999.0,Standard Renewal
TXN-1011-09,USER-1011,2025-08,2025-09-28,999.0,Standard Renewal
TXN-1011-10,USER-1011,2025-08,2025-10-28,1298.7,Tier Upgrade
TXN-1011-11,USER-1011,2025-08,2025-11-27,999.0,Standard Renewal
TXN-1012-08,USER-1012,2025-08,2025-08-29,299.0,Standard Renewal
TXN-1012-09,USER-1012,2025-08,2025-09-28,299.0,Standard Renewal
TXN-1012-10,USER-1012,2025-08,2025-10-28,388.7,Tier Upgrade
TXN-1012-11,USER-1012,2025-08,2025-11-27,388.7,Tier Upgrade
TXN-1013-11,USER-1013,2025-11,2025-11-27,599.0,Standard Renewal
TXN-1014-01,USER-1014,2025-01,2025-01-31,299.0,Standard Renewal
TXN-1014-02,USER-1014,2025-01,2025-03-02,299.0,Standard Renewal
TXN-1014-03,USER-1014,2025-01,2025-04-01,299.0,Standard Renewal
TXN-1014-04,USER-1014,2025-01,2025-05-01,299.0,Standard Renewal
TXN-1014-05,USER-1014,2025-01,2025-05-31,299.0,Standard Renewal
TXN-1015-00,USER-1015,2025-01,2025-01-01,299.0,Standard Renewal
TXN-1015-01,USER-1015,2025-01,2025-01-31,299.0,Standard Renewal
TXN-1016-02,USER-1016,2025-03,2025-03-02,999.0,Standard Renewal
TXN-1016-03,USER-1016,2025-03,2025-04-01,999.0,Standard Renewal
TXN-1016-04,USER-1016,2025-03,2025-05-01,999.0,Standard Renewal
TXN-1016-05,USER-1016,2025-03,2025-05-31,999.0,Standard Renewal
TXN-1016-06,USER-1016,2025-03,2025-06-30,999.0,Standard Renewal
TXN-1016-07,USER-1016,2025-03,2025-07-30,999.0,Standard Renewal
TXN-1016-08,USER-1016,2025-03,2025-08-29,999.0,Standard Renewal
TXN-1016-09,USER-1016,2025-03,2025-09-28,999.0,Standard Renewal
TXN-1017-11,USER-1017,2025-11,2025-11-27,299.0,Standard Renewal
TXN-1018-02,USER-1018,2025-03,2025-03-02,999.0,Standard Renewal
TXN-1018-03,USER-1018,2025-03,2025-04-01,999.0,Standard Renewal
TXN-1019-07,USER-1019,2025-07,2025-07-30,599.0,Standard Renewal
TXN-1019-08,USER-1019,2025-07,2025-08-29,778.7,Tier Upgrade
TXN-1019-09,USER-1019,2025-07,2025-09-28,599.0,Standard Renewal
TXN-1019-10,USER-1019,2025-07,2025-10-28,599.0,Standard Renewal
TXN-1019-11,USER-1019,2025-07,2025-11-27,599.0,Standard Renewal
TXN-1020-03,USER-1020,2025-04,2025-04-01,299.0,Standard Renewal
TXN-1020-04,USER-1020,2025-04,2025-05-01,299.0,Standard Renewal
TXN-1020-05,USER-1020,2025-04,2025-05-31,299.0,Standard Renewal
TXN-1020-06,USER-1020,2025-04,2025-06-30,299.0,Standard Renewal
TXN-1020-07,USER-1020,2025-04,2025-07-30,299.0,Standard Renewal
TXN-1020-08,USER-1020,2025-04,2025-08-29,299.0,Standard Renewal
TXN-1020-09,USER-1020,2025-04,2025-09-28,299.0,Standard Renewal
TXN-1020-10,USER-1020,2025-04,2025-10-28,299.0,Standard Renewal
TXN-1020-11,USER-1020,2025-04,2025-11-27,299.0,Standard Renewal
TXN-1021-11,USER-1021,2025-11,2025-11-27,299.0,Standard Renewal
TXN-1022-00,USER-1022,2025-01,2025-01-01,599.0,Standard Renewal
TXN-1023-07,USER-1023,2025-07,2025-07-30,388.7,Tier Upgrade
TXN-1023-08,USER-1023,2025-07,2025-08-29,299.0,Standard Renewal
TXN-1023-09,USER-1023,2025-07,2025-09-28,299.0,Standard Renewal
TXN-1023-10,USER-1023,2025-07,2025-10-28,299.0,Standard Renewal
TXN-1023-11,USER-1023,2025-07,2025-11-27,388.7,Tier Upgrade
TXN-1024-09,USER-1024,2025-09,2025-09-28,999.0,Standard Renewal
TXN-1024-10,USER-1024,2025-09,2025-10-28,999.0,Standard Renewal
TXN-1024-11,USER-1024,2025-09,2025-11-27,999.0,Standard Renewal
TXN-1025-00,USER-1025,2025-01,2025-01-01,299.0,Standard Renewal
TXN-1025-01,USER-1025,2025-01,2025-01-31,299.0,Standard Renewal
TXN-1025-02,USER-1025,2025-01,2025-03-02,299.0,Standard Renewal
TXN-1025-03,USER-1025,2025-01,2025-04-01,209.3,Contraction
TXN-1025-04,USER-1025,2025-01,2025-05-01,299.0,Standard Renewal
TXN-1026-11,USER-1026,2025-11,2025-11-27,999.0,Standard Renewal
TXN-1027-06,USER-1027,2025-06,2025-06-30,999.0,Standard Renewal
TXN-1027-07,USER-1027,2025-06,2025-07-30,999.0,Standard Renewal
TXN-1028-03,USER-1028,2025-04,2025-04-01,599.0,Standard Renewal
TXN-1028-04,USER-1028,2025-04,2025-05-01,599.0,Standard Renewal
TXN-1028-05,USER-1028,2025-04,2025-05-31,599.0,Standard Renewal
TXN-1029-03,USER-1029,2025-04,2025-04-01,599.0,Standard Renewal
TXN-1029-04,USER-1029,2025-04,2025-05-01,599.0,Standard Renewal
TXN-1029-05,USER-1029,2025-04,2025-05-31,599.0,Standard Renewal
TXN-1029-06,USER-1029,2025-04,2025-06-30,599.0,Standard Renewal
TXN-1030-04,USER-1030,2025-05,2025-05-01,599.0,Standard Renewal
TXN-1030-05,USER-1030,2025-05,2025-05-31,599.0,Standard Renewal
TXN-1030-06,USER-1030,2025-05,2025-06-30,599.0,Standard Renewal
TXN-1030-07,USER-1030,2025-05,2025-07-30,599.0,Standard Renewal
TXN-1030-08,USER-1030,2025-05,2025-08-29,599.0,Standard Renewal
TXN-1030-09,USER-1030,2025-05,2025-09-28,599.0,Standard Renewal
TXN-1030-10,USER-1030,2025-05,2025-10-28,599.0,Standard Renewal
TXN-1030-11,USER-1030,2025-05,2025-11-27,599.0,Standard Renewal
TXN-1031-02,USER-1031,2025-03,2025-03-02,299.0,Standard Renewal
